date,TVL,TVR,Fees,PlainValue,TVL_for_TVR,TVR ratio,pre_coverage,TVL_ana,TVR_ana,thr,use_tvr_day,valid_day,active,mult_daily,mult_7,TVL_7,TVR_7,use_tvr_7,log_tvl_m,log_tvr_m,category
2023-12-05 00:00:00+00:00,6892631521.0,573412736.9912701,659684.0,573412736.9912701,6892631522.80017,0.08319213570237655,False,6892631521.0,573412736.9912701,9345312.146913901,True,True,True,12.020366964930075,,,,False,22.653718782435703,20.167116324266367,CDP
2023-12-06 00:00:00+00:00,7032222105.0,566845939.5071099,656616.0,566845939.5071099,7032222105.830939,0.08060694485703114,False,7032222105.0,566845939.5071099,9345312.146913901,True,True,True,12.405878943253496,,,,False,22.673768581728105,20.155598113144062,CDP
2023-12-07 00:00:00+00:00,6879775769.0,585389936.50104,658587.0,585389936.50104,6879775770.168851,0.08508851975079308,False,6879775769.0,585389936.50104,9345312.146913901,True,True,True,11.752466757664834,,,,False,22.651851896645425,20.18778874126637,CDP
2023-12-08 00:00:00+00:00,7211234609.0,575523724.8860799,659435.0,575523724.8860799,7211234610.44605,0.07980931920484015,False,7211234609.0,575523724.8860799,9345312.146913901,True,True,True,12.52986505539351,,,,False,22.698906009229056,20.170791010100263,CDP
2023-12-09 00:00:00+00:00,7227918824.0,571104213.7988901,652915.0,571104213.7988901,7227918825.834431,0.07901364522213747,False,7227918824.0,571104213.7988901,9345312.146913901,True,True,True,12.656041838530813,,,,False,22.701216978844098,20.163082261998504,CDP
2023-12-10 00:00:00+00:00,7086909216.0,572996447.8640602,647440.0,572996447.8640602,7086909218.14893,0.08085279918595097,False,7086909216.0,572996447.8640602,9345312.146913901,True,True,True,12.368155583542684,,,,False,22.6815151467588,20.16639007546968,CDP
2023-12-11 00:00:00+00:00,6855252514.0,531957321.35146,725981.0,531957321.35146,6855252515.861212,0.07759850131277495,False,6855252514.0,531957321.35146,9345312.146913901,True,True,True,12.886846818056648,,,,False,22.648280985751974,20.092073821064307,CDP
2023-12-12 00:00:00+00:00,6697875377.0,404685179.18284,640113.0,404685179.18284,6697875378.3262205,0.060419932638993,False,6697875377.0,404685179.18284,9345312.146913901,True,True,True,16.55082943863839,,,,False,22.62505620514354,19.818619987438016,CDP
2023-12-13 00:00:00+00:00,6546930798.0,397336842.7280501,612449.0,397336842.7280501,6546930800.24759,0.06069055177931982,False,6546930798.0,397336842.7280501,9345312.146913901,True,True,True,16.477029295974262,,,,False,22.602262196317426,19.800294949251708,CDP
2023-12-14 00:00:00+00:00,6774251160.0,503415098.52006,605290.0,503415098.52006,6774251161.80948,0.07431302538029784,False,6774251160.0,503415098.52006,9345312.146913901,True,True,True,13.456591150950672,,,,False,22.636394667713997,20.036925633302832,CDP
