category,n_model_obs_TVR,order_TVR,seasonal_TVR,AIC_TVR,n_model_obs_TVL,order_TVL,seasonal_TVL,AIC_TVL,pearson_r_TVR,spearman_rho_TVR,pearson_r_TVL,spearman_rho_TVL,thr,tvr_coverage,valid_coverage,N_tvr_pos,N_active
CDP,1123,"(2, 1, 1)","(0, 1, 1, 7)",-2438.4155184383785,1123,"(1, 0, 0)","(0, 0, 0, 7)",-4836.484796639163,-0.6646456707216575,-0.556628183975929,-0.42835467879085876,-0.3643335057133763,9345312.1469139,1.0,1.0,1127,1123
Dexs,1123,"(2, 1, 1)","(0, 1, 1, 7)",-2940.2093616668903,1123,"(2, 0, 1)","(0, 0, 0, 7)",-2486.573752185551,0.24672372902508838,0.26554054176017633,0.3109970653281702,0.2829896409707249,22426411.102296848,1.0,1.0,1127,1123
Lending,1079,"(1, 1, 2)","(1, 1, 1, 7)",-2891.671399121833,1079,"(1, 1, 1)","(1, 1, 1, 7)",-1394.945812533997,0.7993747755480908,0.8537843997790996,0.889627612584621,0.9462902000681768,3152361.3366725,1.0,0.9707187222715172,1127,1079
Liquid Staking,1123,"(0, 1, 0)","(0, 1, 1, 7)",-3095.535220238259,1123,"(0, 1, 0)","(0, 1, 1, 7)",-4236.966438474908,-0.2927071586759855,-0.3687521656080555,0.9381202517852872,0.9394932773027607,1000000.0,1.0,1.0,1127,1123
Onchain Capital Allocator,344,"(0, 1, 0)","(1, 1, 1, 7)",-353.86439591085684,344,"(1, 0, 2)","(1, 0, 0, 7)",-631.4009596799558,0.40711920339711233,0.3083398555245938,0.8253631496750596,0.8204941241332925,1000000.0,0.96514745308311,0.9436997319034852,360,344
Yield,1123,"(1, 0, 1)","(0, 0, 0, 7)",-3194.4686559099437,1123,"(1, 0, 1)","(0, 0, 0, 7)",-2623.153298898764,0.6101753739987618,0.5876842791881922,0.3912480320009992,0.2716882478562228,3518486.51808455,1.0,1.0,1127,1123
