category,N_TVR,pearson_r_TVR,pearson_p_TVR,spearman_rho_TVR,spearman_p_TVR,N_TVL,pearson_r_TVL,pearson_p_TVL,spearman_rho_TVL,spearman_p_TVL
CDP,1123,-0.6646456707216575,4.4645795104756465e-144,-0.556628183975929,2.3107814060366954e-92,1123,-0.42835467879085876,2.504000393236236e-51,-0.3643335057133763,1.3997477197013119e-36
Dexs,1123,0.24672372902508838,4.9107094584962717e-17,0.26554054176017633,1.408165139944707e-19,1123,0.3109970653281702,1.3164940551735685e-26,0.2829896409707249,3.9995825851765566e-22
Lending,652,0.7993747755480908,6.053668022419181e-146,0.8537843997790996,2.022667576741705e-186,652,0.889627612584621,1.9854012100478394e-223,0.9462902000681768,6.01e-321
Liquid Staking,1123,-0.2927071586759855,1.2670578321837893e-23,-0.3687521656080555,1.6981971984987401e-37,1123,0.9381202517852872,0.0,0.9394932773027607,0.0
Onchain Capital Allocator,344,0.40711920339711233,3.6370909475098934e-15,0.3083398555245938,5.190068718202274e-09,344,0.8253631496750596,6.506381731182466e-87,0.8204941241332925,4.568177101932348e-85
Yield,1123,0.6101753739987618,1.681047713027482e-115,0.5876842791881922,2.9636365646612986e-105,1123,0.3912480320009992,2.185565467855138e-42,0.2716882478562228,1.8726681882382835e-20
