date,category,TVL,TVR,Fees,TVL_for_TVR,PlainValue,TVR ratio,pre_coverage,TVL_ana,TVR_ana,thr,use_tvr_day,valid_day,active,mult_daily,log_tvl_m,log_tvr_m
2023-03-20 00:00:00+00:00,Yield,4493848647.0,787945526.1384801,614363.0,4740369432.850729,787945526.1384801,0.16622027825047195,False,4493848647.0,787945526.1384801,3518486.51808455,True,True,True,5.703247874282891,22.225975331237194,20.484939516166726
2023-03-21 00:00:00+00:00,Yield,4394388283.0,759436405.4661599,613538.0,4633326589.05566,759436405.4661599,0.1639073764538891,False,4394388283.0,759436405.4661599,3518486.51808455,True,True,True,5.786380862664361,22.20359417364105,20.448087144389252
2023-03-22 00:00:00+00:00,Yield,4488274271.0,766689345.02242,643499.0,4734545088.674429,766689345.02242,0.16193516603240896,False,4488274271.0,766689345.02242,3518486.51808455,True,True,True,5.854097621336776,22.224734115376187,20.457592251239937
2023-03-23 00:00:00+00:00,Yield,4380263343.0,748662406.89842,568458.0,4632913366.672211,748662406.89842,0.16159646158809549,False,4380263343.0,748662406.89842,3518486.51808455,True,True,True,5.8507857515467885,22.200374683499994,20.43379871477216
2023-03-24 00:00:00+00:00,Yield,4486130053.0,762060496.18454,783906.0,4747029751.347869,762060496.18454,0.1605341731781144,False,4486130053.0,762060496.18454,3518486.51808455,True,True,True,5.886842416659848,22.224256263484655,20.45153650181789
2023-03-25 00:00:00+00:00,Yield,4381734556.0,733566289.6782401,568534.0,4643515317.60238,733566289.6782401,0.15797649830021615,False,4381734556.0,733566289.6782401,3518486.51808455,True,True,True,5.973195084962171,22.20071050029219,20.413428525939914
2023-03-26 00:00:00+00:00,Yield,4383765771.0,731060585.63845,604917.0,4651749612.980749,731060585.63845,0.15715819776679701,False,4383765771.0,731060585.63845,3518486.51808455,True,True,True,5.996446610743717,22.20117395701698,20.41000689477001
2023-03-27 00:00:00+00:00,Yield,4413376823.0,743882660.22346,613866.0,4681539600.688102,743882660.22346,0.1588970133060762,False,4413376823.0,743882660.22346,3518486.51808455,True,True,True,5.932893800312856,22.20790595289269,20.427393865605673
2023-03-28 00:00:00+00:00,Yield,4343681154.0,727431472.7758,480334.0,4617702964.579028,727431472.7758,0.1575310231852724,False,4343681154.0,727431472.7758,3518486.51808455,True,True,True,5.971258209965788,22.191988017712923,20.405030357076065
2023-03-29 00:00:00+00:00,Yield,4426575118.0,745351156.7705901,558022.0,4707731704.140188,745351156.7705901,0.15832490116526718,False,4426575118.0,745351156.7705901,3518486.51808455,True,True,True,5.938912253358782,22.210892010938032,20.42936601666259
2023-03-30 00:00:00+00:00,Yield,4476350452.0,763718166.6526,586441.0,4759629539.337801,763718166.6526,0.16045748105825372,False,4476350452.0,763718166.6526,3518486.51808455,True,True,True,5.861259620967222,22.222073920130956,20.4537093872575
2023-03-31 00:00:00+00:00,Yield,4474927546.0,760444244.43243,675293.0,4760318204.749839,760444244.43243,0.15974651519590852,False,4474927546.0,760444244.43243,3518486.51808455,True,True,True,5.884622809315804,22.221755997704168,20.449413352620216
2023-04-01 00:00:00+00:00,Yield,4528181088.0,779092727.8566501,641842.0,4819588261.515594,779092727.8566501,0.16165130413270043,False,4528181088.0,779092727.8566501,3518486.51808455,True,True,True,5.812120850437673,22.23358616998046,20.473640631226782
2023-04-02 00:00:00+00:00,Yield,4506262754.0,766786059.31777,594392.0,4799084774.30138,766786059.31777,0.159777560801558,False,4506262754.0,766786059.31777,3518486.51808455,True,True,True,5.876818832634154,22.22873398928479,20.457718388633737
2023-04-03 00:00:00+00:00,Yield,4463062453.0,759018690.7942102,528979.0,4755911585.756402,759018690.7942102,0.15959478579614772,False,4463062453.0,759018690.7942102,3518486.51808455,True,True,True,5.880042885808266,22.219101015997765,20.447536960609018
2023-04-04 00:00:00+00:00,Yield,4485647248.0,772353692.79018,527060.0,4774744843.270297,772353692.79018,0.16175810815917505,False,4485647248.0,772353692.79018,3518486.51808455,True,True,True,5.807763062276942,22.224148635980256,20.46495315435241
2023-04-05 00:00:00+00:00,Yield,4609067270.0,825150527.5095501,635775.0,4903777805.145153,825150527.5095501,0.16826833520959775,False,4609067270.0,825150527.5095501,3518486.51808455,True,True,True,5.585729047415116,22.251291345935183,20.531076385242926
2023-04-06 00:00:00+00:00,Yield,4660931491.0,824009435.3757302,614055.0,4958658800.4620695,824009435.3757302,0.16617586902711382,False,4660931491.0,824009435.3757302,3518486.51808455,True,True,True,5.6564054862730035,22.262481155880998,20.52969253850689
2023-04-07 00:00:00+00:00,Yield,4644339041.0,829750606.16323,727957.0,4942034165.35068,829750606.16323,0.16789657424481846,False,4644339041.0,829750606.16323,3518486.51808455,True,True,True,5.5972710432541195,22.25891490436185,20.53663573910128
2023-04-08 00:00:00+00:00,Yield,4601134506.0,820913603.8436201,609632.0,4902620337.94486,820913603.8436201,0.16744384579201183,False,4601134506.0,820913603.8436201,3518486.51808455,True,True,True,5.604894941997444,22.249568741771984,20.525928429045745
2023-04-09 00:00:00+00:00,Yield,4619205148.0,822464150.43682,617001.0,4922669000.379109,822464150.43682,0.16707687443000527,False,4619205148.0,822464150.43682,3518486.51808455,True,True,True,5.616299683757265,22.25348848135102,20.527815453558848
2023-04-10 00:00:00+00:00,Yield,4596897650.0,807326997.0191602,623844.0,4901555691.697939,807326997.0191602,0.16470831870513655,False,4596897650.0,807326997.0191602,3518486.51808455,True,True,True,5.693972413870489,22.248647489002305,20.5092393449298
2023-04-11 00:00:00+00:00,Yield,4680149050.0,821776125.14346,569284.0,4989876605.199631,821776125.14346,0.16468866670713656,False,4680149050.0,821776125.14346,3518486.51808455,True,True,True,5.695163082503732,22.26659579465942,20.52697856208534
2023-04-12 00:00:00+00:00,Yield,4658165311.0,808310906.4116,649689.0,4970290533.557899,808310906.4116,0.16262850248976976,False,4658165311.0,808310906.4116,3518486.51808455,True,True,True,5.762838623172079,22.261887497473964,20.510457327637415
2023-04-13 00:00:00+00:00,Yield,4674228905.0,803753979.71322,618016.0,4954028777.12332,803753979.71322,0.16224249310476146,False,4674228905.0,803753979.71322,3518486.51808455,True,True,True,5.815497058773841,22.265330045975993,20.504803784935532
2023-04-14 00:00:00+00:00,Yield,4870089910.0,859876805.32716,587672.0,5159459780.310781,859876805.32716,0.16666024001360957,False,4870089910.0,859876805.32716,3518486.51808455,True,True,True,5.663706567997333,22.30637823588281,20.57229968733104
2023-04-15 00:00:00+00:00,Yield,4126773610.0,871364188.1177101,670425.0,4397283854.897011,871364188.1177101,0.19815964055795948,False,4126773610.0,871364188.1177101,3518486.51808455,True,True,True,4.735991754394347,22.140761730384742,20.585570573853044
2023-04-16 00:00:00+00:00,Yield,4717845549.0,880097267.85675,684973.0,4996444816.415219,880097267.85675,0.17614469891977916,False,4717845549.0,880097267.85675,3518486.51808455,True,True,True,5.3605956083571265,22.274618080855134,20.595542990983752
2023-04-17 00:00:00+00:00,Yield,4659816234.0,868051580.2253201,609179.0,4931109276.486271,868051580.2253201,0.1760357622502055,False,4659816234.0,868051580.2253201,3518486.51808455,True,True,True,5.368132885364314,22.262241849542445,20.581761695081795
2023-04-18 00:00:00+00:00,Yield,4474807201.0,860611836.06315,547402.0,4753239735.2669,860611836.06315,0.18105794868241076,False,4474807201.0,860611836.06315,3518486.51808455,True,True,True,5.199565022798091,22.221729104169686,20.57315413154302
2023-04-19 00:00:00+00:00,Yield,4488739745.0,865370813.71931,557209.0,4769550322.548589,865370813.71931,0.18143656219081528,False,4488739745.0,865370813.71931,3518486.51808455,True,True,True,5.187070876249773,22.224837818901566,20.578668659417104
2023-04-20 00:00:00+00:00,Yield,4321516445.0,797173691.4475199,552798.0,4597470583.694861,797173691.4475199,0.17339397325884642,False,4321516445.0,797173691.4475199,3518486.51808455,True,True,True,5.421047497381563,22.186872206541373,20.49658314456358
2023-04-21 00:00:00+00:00,Yield,4136537860.0,787050232.2353201,775884.0,4414362928.21934,787050232.2353201,0.17829305044313593,False,4136537860.0,787050232.2353201,3518486.51808455,True,True,True,5.255748223657492,22.143125009217922,20.483802631835665
2023-04-22 00:00:00+00:00,Yield,4088293365.0,756366792.9887,640153.0,4361323930.225131,756366792.9887,0.17342596080673522,False,4088293365.0,756366792.9887,3518486.51808455,True,True,True,5.4051729966165745,22.13139344974855,20.44403699239501
2023-04-23 00:00:00+00:00,Yield,4015722478.0,755349463.36353,394072.0,4289325321.520062,755349463.36353,0.17609983079946182,False,4015722478.0,755349463.36353,3518486.51808455,True,True,True,5.316376952355545,22.113483112864376,20.44269106550632
2023-04-24 00:00:00+00:00,Yield,4065166175.0,759036657.3279599,583592.0,4337997418.526681,759036657.3279599,0.17497397626062958,False,4065166175.0,759036657.3279599,3518486.51808455,True,True,True,5.355691501528559,22.125720458569436,20.44756063106843
2023-04-25 00:00:00+00:00,Yield,4097804615.0,754227738.4192001,112515.0,4369273754.680088,754227738.4192001,0.17262084748325035,False,4097804615.0,754227738.4192001,3518486.51808455,True,True,True,5.433113111947679,22.133717207490804,20.441204920710994
