date,TVL,TVR,Fees,PlainValue,TVL_for_TVR,TVR ratio,pre_coverage,TVL_ana,TVR_ana,thr,use_tvr_day,valid_day,active,mult_daily,log_tvl_m,log_tvr_m,category
2025-01-11 00:00:00+00:00,1615824309.0,588056015.23,,588056015.23,1945508559.84311,0.30226339136612285,False,1615824309.0,588056015.23,2599606.0624007247,True,True,True,2.7477387649338474,21.203111071456686,20.192332765322174,RWA
2025-01-12 00:00:00+00:00,1616486985.0,588056015.23,,588056015.23,1946176225.55438,0.302159695257036,False,1616486985.0,588056015.23,2599606.0624007247,True,True,True,2.74886565758155,21.20352110375185,20.192332765322174,RWA
2025-01-13 00:00:00+00:00,1616521040.0,588056015.23,,588056015.23,1946074321.40395,0.3021755175340686,False,1616521040.0,588056015.23,2599606.0624007247,True,True,True,2.748923568731369,21.20354217081988,20.192332765322174,RWA
2025-01-14 00:00:00+00:00,1610944265.0,591056115.33,,591056115.33,1942112945.4471502,0.30433663331249555,False,1610944265.0,591056115.33,2599606.0624007247,True,True,True,2.725535229595879,21.200086344018878,20.19742152065988,RWA
2025-01-15 00:00:00+00:00,1603877253.0,581754041.33,,581754041.33,1933028678.8944998,0.3009546871610335,False,1603877253.0,581754041.33,2599606.0624007247,True,True,True,2.7569679607781192,21.195689817901407,20.18155830697257,RWA
2025-01-16 00:00:00+00:00,1542823484.0,582085041.33,,582085041.33,1871844787.6277301,0.31096864717490896,False,1542823484.0,582085041.33,2599606.0624007247,True,True,True,2.6505121665295137,21.156880005857374,20.182127114145064,RWA
2025-01-17 00:00:00+00:00,1548139739.0,582085041.33,,582085041.33,1877862856.95928,0.3099720723336199,False,1548139739.0,582085041.33,2599606.0624007247,True,True,True,2.6596452907682897,21.16031987871163,20.182127114145064,RWA
2025-01-18 00:00:00+00:00,1555909257.0,582185041.33,,582185041.33,1885455344.50281,0.3087768920263242,False,1555909257.0,582185041.33,2599606.0624007247,True,True,True,2.672533896517729,21.16532594287865,20.18229889559292,RWA
2025-01-19 00:00:00+00:00,1554687895.0,582185041.33,,582185041.33,1883262128.85778,0.3091364884415224,False,1554687895.0,582185041.33,2599606.0624007247,True,True,True,2.6704360033853156,21.164540651821607,20.18229889559292,RWA
2025-01-20 00:00:00+00:00,1551473649.0,582185041.33,,582185041.33,1881864547.2488499,0.3093660711027861,False,1551473649.0,582185041.33,2599606.0624007247,True,True,True,2.6649149992855587,21.162471057499644,20.18229889559292,RWA
2025-01-21 00:00:00+00:00,1571440909.0,582185041.33,,582185041.33,1901141960.58938,0.30622912617715026,False,1571440909.0,582185041.33,2599606.0624007247,True,True,True,2.6992121017229294,21.175258811840465,20.18229889559292,RWA
2025-01-22 00:00:00+00:00,1576800197.0,583084541.33,,583084541.33,1905536263.93401,0.305994985435865,False,1576800197.0,583084541.33,2599606.0624007247,True,True,True,2.7042394116698096,21.178663438739356,20.18384274465934,RWA
2025-01-23 00:00:00+00:00,1583841586.0,582985541.33,,582985541.33,1912777367.7869697,0.3047848386059158,False,1583841586.0,582985541.33,2599606.0624007247,True,True,True,2.7167767872710646,21.183119116499043,20.183672943544106,RWA
2025-01-24 00:00:00+00:00,1597928478.0,589358837.73,,589358837.73,1927888284.93567,0.3057017578949943,False,1597928478.0,589358837.73,2599606.0624007247,True,True,True,2.711299764596134,21.191973926092366,20.194545788248522,RWA
2025-01-25 00:00:00+00:00,1598984908.0,588671044.13,,588671044.13,1927906253.7953,0.30534215186611635,False,1598984908.0,588671044.13,2599606.0624007247,True,True,True,2.716262204408488,21.19263483235469,20.19337808666685,RWA
2025-01-26 00:00:00+00:00,1600977442.0,588671044.13,,588671044.13,1930076927.39536,0.3049987468242584,False,1600977442.0,588671044.13,2599606.0624007247,True,True,True,2.7196470048328822,21.19388018091794,20.19337808666685,RWA
2025-01-27 00:00:00+00:00,1601798552.0,588671044.13,,588671044.13,1934104572.4234102,0.3043636070785987,False,1601798552.0,588671044.13,2599606.0624007247,True,True,True,2.7210418585600835,21.19439292987043,20.19337808666685,RWA
2025-01-28 00:00:00+00:00,1582157151.0,589305965.1,,589305965.1,1911300072.23742,0.3083272865731347,False,1582157151.0,589305965.1,2599606.0624007247,True,True,True,2.684780478560949,21.182055038273585,20.19445607210546,RWA
2025-01-29 00:00:00+00:00,1580504716.0,576369726.73,,576369726.73,1910019027.00368,0.3017612487526751,False,1580504716.0,576369726.73,2599606.0624007247,True,True,True,2.7421716351531873,21.18101007348136,20.17225989942305,RWA
2025-01-30 00:00:00+00:00,1574699268.0,571921575.64,,571921575.64,1903874319.8545103,0.3003988076711413,False,1574699268.0,571921575.64,2599606.0624007247,True,True,True,2.7533482475072866,21.17733015004008,20.164512434419773,RWA
2025-01-31 00:00:00+00:00,1586528559.0,571983337.1,,571983337.1,1916970759.15242,0.29837874905974043,False,1586528559.0,571983337.1,2599606.0624007247,True,True,True,2.7737321283585343,21.184814170086142,20.1646204179757,RWA
2025-02-01 00:00:00+00:00,1637116981.0,584839862.66,,584839862.66,1967754353.8209698,0.2972118250046621,False,1637116981.0,584839862.66,2599606.0624007247,True,True,True,2.7992568316974444,21.216202593380878,20.186848628680025,RWA
2025-02-02 00:00:00+00:00,1661864669.0,584839862.66,,584839862.66,1992858333.57729,0.29346785609701637,False,1661864669.0,584839862.66,2599606.0624007247,True,True,True,2.8415721552245397,21.231206103469876,20.186848628680025,RWA
2025-02-03 00:00:00+00:00,1668216293.0,584839862.66,,584839862.66,1999209957.6345499,0.29253548904487153,False,1668216293.0,584839862.66,2599606.0624007247,True,True,True,2.852432605076763,21.23502080453862,20.186848628680025,RWA
2025-02-04 00:00:00+00:00,1673857223.0,585029289.53,,585029289.53,2004571219.5746603,0.29184759504535557,False,1673857223.0,585029289.53,2599606.0624007247,True,True,True,2.8611511473976647,21.238396514456266,20.187172471515442,RWA
2025-02-05 00:00:00+00:00,1695812985.0,584279052.85,,584279052.85,2026509435.58702,0.2883179533189549,False,1695812985.0,584279052.85,2599606.0624007247,True,True,True,2.9024025022429827,21.251428099957828,20.185889256890597,RWA
2025-02-06 00:00:00+00:00,1703479697.0,583502004.39,,583502004.39,2034192596.3930697,0.28684698067657755,False,1703479697.0,583502004.39,2599606.0624007247,True,True,True,2.9194067615600363,21.25593887659098,20.184558444800665,RWA
2025-02-07 00:00:00+00:00,1701905762.0,583564851.54,,583564851.54,2032813795.34076,0.28707245733846326,False,1701905762.0,583564851.54,2599606.0624007247,True,True,True,2.9163952515453104,21.255014496587002,20.18466614582866,RWA
2025-02-08 00:00:00+00:00,1700401734.0,583627960.48,,583627960.48,2030970512.35946,0.28736407393821584,False,1700401734.0,583627960.48,2599606.0624007247,True,True,True,2.9135028633678184,21.254130374208447,20.184774283814797,RWA
2025-02-09 00:00:00+00:00,1700799840.0,583627960.48,,583627960.48,2031368458.83605,0.28730777911871874,False,1700799840.0,583627960.48,2599606.0624007247,True,True,True,2.9141849862730895,21.254364471478574,20.184774283814797,RWA
2025-02-10 00:00:00+00:00,1701204611.0,583627960.48,,583627960.48,2031951377.5616698,0.28722535732146814,False,1701204611.0,583627960.48,2599606.0624007247,True,True,True,2.9148785291247155,21.25460243177977,20.184774283814797,RWA
2025-02-11 00:00:00+00:00,1712625967.0,583817135.71,,583817135.71,2040577747.80551,0.2861038430600608,False,1712625967.0,583817135.71,2599606.0624007247,True,True,True,2.9334972583790586,21.261293682767707,20.185098367974767,RWA
2025-02-12 00:00:00+00:00,1707403521.0,583880184.28,,583880184.28,2035195041.5637698,0.286891512781678,False,1707403521.0,583880184.28,2599606.0624007247,True,True,True,2.9242361137935347,21.25823964473819,20.185206355839398,RWA
2025-02-13 00:00:00+00:00,1718286029.0,589228121.81,,589228121.81,2046525473.83677,0.2879163388596044,False,1718286029.0,589228121.81,2599606.0624007247,True,True,True,2.9161643265120185,21.264593136173332,20.19432397021553,RWA
2025-02-14 00:00:00+00:00,1759048273.0,597335994.72,,597335994.72,2087220603.37109,0.28618728358432116,False,1759048273.0,597335994.72,2599606.0624007247,True,True,True,2.944822157962455,21.28803874575904,20.207990318267544,RWA
2025-02-15 00:00:00+00:00,1748009826.0,597150326.78,,597150326.78,2076799014.08981,0.2875339995486807,False,1748009826.0,597150326.78,2599606.0624007247,True,True,True,2.927252565406358,21.28174373544542,20.20767944331125,RWA
2025-02-16 00:00:00+00:00,1747904772.0,597150326.78,,597150326.78,2075670698.99938,0.28769030032936754,False,1747904772.0,597150326.78,2599606.0624007247,True,True,True,2.927076639855808,21.28168363443489,20.20767944331125,RWA
2025-02-17 00:00:00+00:00,1745921861.0,597150326.78,,597150326.78,2072462295.83523,0.2881356770543034,False,1745921861.0,597150326.78,2599606.0624007247,True,True,True,2.9237560170392847,21.280548540212312,20.20767944331125,RWA
