date,TVL,TVR,Fees,PlainValue,TVL_for_TVR,TVR ratio,pre_coverage,TVL_ana,TVR_ana,thr,use_tvr_day,valid_day,active,mult_daily,log_tvl_m,log_tvr_m,category
2023-06-14 00:00:00+00:00,13300350.0,0.0,,0.0,13300350.13608,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-15 00:00:00+00:00,16484319.0,0.0,,0.0,16484319.97837,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-16 00:00:00+00:00,16557169.0,0.0,,0.0,16557169.14856,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-17 00:00:00+00:00,17099837.0,0.0,,0.0,17099837.465949997,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-18 00:00:00+00:00,17177115.0,0.0,,0.0,17177115.61201,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-19 00:00:00+00:00,17161176.0,0.0,,0.0,17161176.44378,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-20 00:00:00+00:00,17335749.0,0.0,,0.0,17335749.17935,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-21 00:00:00+00:00,17929755.0,0.0,,0.0,17929755.4112,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-22 00:00:00+00:00,19083949.0,0.0,,0.0,19083949.91262,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-23 00:00:00+00:00,18695588.0,0.0,,0.0,18695588.07767,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-24 00:00:00+00:00,18769390.0,0.0,,0.0,18769390.00137,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-25 00:00:00+00:00,18682076.0,0.0,,0.0,18682076.5101,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-26 00:00:00+00:00,18888744.0,0.0,,0.0,18888744.00517,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-27 00:00:00+00:00,18566137.0,0.0,,0.0,18566137.41113,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-28 00:00:00+00:00,18657881.0,0.0,,0.0,18657881.2104,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-29 00:00:00+00:00,18257499.0,0.0,,0.0,18257499.14415,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-06-30 00:00:00+00:00,18453136.0,0.0,,0.0,18453136.290230002,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-01 00:00:00+00:00,19332958.0,0.0,,0.0,19332958.982160002,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-02 00:00:00+00:00,19164797.0,0.0,,0.0,19164797.39541,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-03 00:00:00+00:00,19321233.0,0.0,,0.0,19321233.65458,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-04 00:00:00+00:00,19504158.0,0.0,,0.0,19504158.40134,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-05 00:00:00+00:00,19332540.0,0.0,,0.0,19332540.98732,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-06 00:00:00+00:00,18997957.0,0.0,,0.0,18997957.28855,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-07 00:00:00+00:00,18380332.0,0.0,,0.0,18380332.91189,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-08 00:00:00+00:00,18662952.0,0.0,,0.0,18662952.69202,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-09 00:00:00+00:00,18633873.0,0.0,,0.0,18633873.835109998,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-10 00:00:00+00:00,18574453.0,0.0,,0.0,18574453.81632,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-11 00:00:00+00:00,18739752.0,0.0,,0.0,18739752.51403,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-12 00:00:00+00:00,18774366.0,0.0,,0.0,18774366.130099997,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-13 00:00:00+00:00,81727495.0,0.0,,0.0,81727495.46645,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-14 00:00:00+00:00,94308514.0,0.0,,0.0,94308514.48706,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-15 00:00:00+00:00,90370779.0,0.0,,0.0,90370779.52721,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-16 00:00:00+00:00,90505184.0,0.0,,0.0,90505184.04803,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-17 00:00:00+00:00,89939140.0,0.0,,0.0,89939140.96142,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-18 00:00:00+00:00,89502627.0,0.0,,0.0,89502627.34019,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-19 00:00:00+00:00,89328221.0,0.0,,0.0,89328221.33156,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-20 00:00:00+00:00,88549489.0,0.0,,0.0,88549489.31264001,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-21 00:00:00+00:00,88528355.0,0.0,,0.0,88528355.23138,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-22 00:00:00+00:00,88761002.0,0.0,,0.0,88761002.38623,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-23 00:00:00+00:00,87166102.0,0.0,,0.0,87166102.97952999,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-24 00:00:00+00:00,88434755.0,0.0,,0.0,88434755.37935999,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-25 00:00:00+00:00,86653035.0,0.0,,0.0,86653035.78581,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-26 00:00:00+00:00,86933590.0,0.0,,0.0,86933590.0846,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-27 00:00:00+00:00,87461968.0,0.0,,0.0,87461968.34524,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-28 00:00:00+00:00,87186405.0,0.0,,0.0,87186405.91435,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-29 00:00:00+00:00,87807672.0,0.0,,0.0,87807672.16995001,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-30 00:00:00+00:00,87987818.0,0.0,,0.0,87987818.10815,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-07-31 00:00:00+00:00,87662292.0,0.0,,0.0,87662292.45965001,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-01 00:00:00+00:00,87179548.0,0.0,,0.0,87179548.57009,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-02 00:00:00+00:00,87446438.0,0.0,,0.0,87446438.89064,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-03 00:00:00+00:00,86202446.0,0.0,,0.0,86202446.85435,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-04 00:00:00+00:00,86020839.0,0.0,,0.0,86020839.06841001,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-05 00:00:00+00:00,85727394.0,0.0,,0.0,85727394.1986,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-06 00:00:00+00:00,85967670.0,0.0,,0.0,85967670.26258999,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-07 00:00:00+00:00,85621076.0,0.0,,0.0,85621076.3242,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-08 00:00:00+00:00,85816651.0,0.0,,0.0,85816651.55638,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-09 00:00:00+00:00,87144526.0,0.0,,0.0,87144526.35653001,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-10 00:00:00+00:00,87120542.0,0.0,,0.0,87120542.20475,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-11 00:00:00+00:00,86973088.0,0.0,,0.0,86973088.83741,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-12 00:00:00+00:00,86985817.0,0.0,,0.0,86985817.17515999,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-13 00:00:00+00:00,86891632.0,0.0,,0.0,86891632.15349,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-14 00:00:00+00:00,86453507.0,0.0,,0.0,86453507.06285,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-15 00:00:00+00:00,86685648.0,0.0,,0.0,86685648.27484,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-16 00:00:00+00:00,85938338.0,0.0,,0.0,85938338.39479999,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-17 00:00:00+00:00,84038826.0,0.0,,0.0,84038826.32021,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-18 00:00:00+00:00,79363634.0,0.0,,0.0,79363634.60277,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-19 00:00:00+00:00,78469202.0,0.0,,0.0,78469202.77508,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-20 00:00:00+00:00,78690842.0,0.0,,0.0,78690842.27605,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-21 00:00:00+00:00,79120605.0,0.0,,0.0,79120605.59789,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-22 00:00:00+00:00,78459103.0,0.0,,0.0,78459103.72241999,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-23 00:00:00+00:00,235555035.0,0.0,,0.0,235555035.69222,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-24 00:00:00+00:00,242266369.0,0.0,,0.0,242266369.54829,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-25 00:00:00+00:00,238802490.0,0.0,,0.0,238802490.02448002,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-26 00:00:00+00:00,237951703.0,0.0,,0.0,237951703.7576,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-27 00:00:00+00:00,236901223.0,0.0,,0.0,236901223.25403,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-28 00:00:00+00:00,238307988.0,0.0,,0.0,238307988.81431,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-29 00:00:00+00:00,237750733.0,0.0,,0.0,237750733.97403,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-30 00:00:00+00:00,248630976.0,0.0,,0.0,248630976.41495,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-08-31 00:00:00+00:00,245234866.0,0.0,,0.0,245234866.95103,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-01 00:00:00+00:00,237537578.0,0.0,,0.0,237537578.17537996,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-02 00:00:00+00:00,234422874.0,0.0,,0.0,234422874.66438,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-03 00:00:00+00:00,234816957.0,0.0,,0.0,234816957.19223002,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-04 00:00:00+00:00,235033031.0,0.0,,0.0,235033031.23458,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-05 00:00:00+00:00,233659097.0,0.0,,0.0,233659097.25708,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-06 00:00:00+00:00,234273968.0,0.0,,0.0,234273968.51512998,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-07 00:00:00+00:00,234192436.0,0.0,,0.0,234192436.44546002,0.0,True,,,1000000.0,False,False,False,,,,Restaking
2023-09-08 00:00:00+00:00,236463202.0,0.0,,0.0,236463202.54809,0.0,True,,,1000000.0,False,False,False,,,,Restaking
