date,TVL,TVR,Fees,PlainValue,TVL_for_TVR,TVR ratio,pre_coverage,TVL_ana,TVR_ana,thr,use_tvr_day,valid_day,active,mult_daily,log_tvl_m,log_tvr_m,category
2022-04-01 00:00:00+00:00,30790992.0,33999016.49048,,33999016.49048,72588762.20357001,0.46837851284930554,False,30790992.0,33999016.49048,3152361.3366725,True,True,False,0.905643609091508,,,Lending
2022-04-02 00:00:00+00:00,41809708.0,41944630.57882,,41944630.57882,88479621.21476999,0.47405978916892266,False,41809708.0,41944630.57882,3152361.3366725,True,True,False,0.9967833170310927,,,Lending
2022-04-03 00:00:00+00:00,41801560.0,42363019.478350006,,42363019.478350006,89492047.11594,0.4733718899453408,False,41801560.0,42363019.478350006,3152361.3366725,True,True,False,0.9867464716806378,,,Lending
2022-04-04 00:00:00+00:00,41816622.0,41772154.05335,,41772154.05335,91921703.26901,0.4544318976673362,False,41816622.0,41772154.05335,3152361.3366725,True,True,False,1.0010645356376213,,,Lending
2022-04-05 00:00:00+00:00,46824752.0,43207215.52618,,43207215.52618,96730168.28313999,0.44667776654443175,False,46824752.0,43207215.52618,3152361.3366725,True,True,True,1.0837252859219328,17.66192250996433,17.58151806533602,Lending
2022-04-06 00:00:00+00:00,47123803.0,43946727.696490005,,43946727.696490005,96500394.79100001,0.45540464152161836,False,47123803.0,43946727.696490005,3152361.3366725,True,True,True,1.072293785454332,17.668288802879346,17.598488724181102,Lending
2022-04-07 00:00:00+00:00,73859886.0,68422027.97015,,68422027.97015,120584251.98688,0.5674209263875896,False,73859886.0,68422027.97015,3152361.3366725,True,True,True,1.0794752536744796,18.1176804239269,18.041205377094208,Lending
2022-04-08 00:00:00+00:00,79259844.0,70940760.06837,,70940760.06837,129803694.67461,0.5465234271351309,False,79259844.0,70940760.06837,3152361.3366725,True,True,True,1.1172680405963,18.18824217751872,18.077355721494953,Lending
2022-04-09 00:00:00+00:00,68328752.0,64052818.47603001,,64052818.47603001,118269534.39789,0.5415834162375188,False,68328752.0,64052818.47603001,3152361.3366725,True,True,True,1.0667563680366405,18.03984120228459,17.97521858964846,Lending
2022-04-10 00:00:00+00:00,68410356.0,64224387.81527,,64224387.81527,123229286.69268999,0.5211779564660891,False,68410356.0,64224387.81527,3152361.3366725,True,True,True,1.0651772376059105,18.041034774641197,17.977893569038887,Lending
2022-04-11 00:00:00+00:00,70067634.0,66558074.11743,,66558074.11743,126511915.32135,0.5261012288713468,False,70067634.0,66558074.11743,3152361.3366725,True,True,True,1.0527292883561805,18.06497153354286,18.013585419524812,Lending
2022-04-12 00:00:00+00:00,66487703.0,71325725.59037,,71325725.59037,119829248.92414,0.595228011781364,False,66487703.0,71325725.59037,3152361.3366725,True,True,True,0.9321700192977328,18.012527571233537,18.082767628028147,Lending
2022-04-13 00:00:00+00:00,90194241.0,95086495.74672,,95086495.74672,146245549.5916,0.6501838586695806,False,90194241.0,95086495.74672,3152361.3366725,True,True,True,0.9485494264111761,18.317476135987892,18.37029751687233,Lending
2022-04-14 00:00:00+00:00,72686363.0,77718092.37156999,,77718092.37156999,131081127.19299999,0.5929007023043078,False,72686363.0,77718092.37156999,3152361.3366725,True,True,True,0.9352566536564831,18.10166434581643,18.168598637287698,Lending
2022-04-15 00:00:00+00:00,65077653.0,71076759.22371,,71076759.22371,125054848.21389002,0.5683646834878602,False,65077653.0,71076759.22371,3152361.3366725,True,True,True,0.9155967957848478,17.991091776358115,18.07927096684764,Lending
2022-04-16 00:00:00+00:00,62166376.0,68850088.04416001,,68850088.04416001,124194367.41415003,0.5543736763404586,False,62166376.0,68850088.04416001,3152361.3366725,True,True,True,0.9029236964828118,17.945324832765888,18.0474420619204,Lending
2022-04-17 00:00:00+00:00,52163962.0,58649203.07574,,58649203.07574,114983010.47226998,0.510068425194731,False,52163962.0,58649203.07574,3152361.3366725,True,True,True,0.8894232020959447,17.769902431286923,17.887084545175025,Lending
2022-04-18 00:00:00+00:00,56808483.0,62805914.11325,,62805914.11325,120900983.82356,0.5194822418062987,False,56808483.0,62805914.11325,3152361.3366725,True,True,True,0.9045084973616403,17.85519622113154,17.955559800782222,Lending
2022-04-19 00:00:00+00:00,57055428.0,63897088.37615,,63897088.37615,124090662.26558,0.5149226155260325,False,57055428.0,63897088.37615,3152361.3366725,True,True,True,0.8929268836809208,17.85953377435639,17.972784352991166,Lending
2022-04-20 00:00:00+00:00,73834423.0,96323573.1717,,96323573.1717,195271882.08793002,0.4932792788278957,False,73834423.0,96323573.1717,3152361.3366725,True,True,True,0.7665249592473865,18.11733561713746,18.38322363571898,Lending
2022-04-21 00:00:00+00:00,74514483.0,269766537.20418,,269766537.20418,1135173354.2786403,0.23764347197490945,False,74514483.0,269766537.20418,3152361.3366725,True,True,True,0.2762184063755903,18.126504067140598,19.41306746589228,Lending
2022-04-22 00:00:00+00:00,82653482.0,267174384.35578,,267174384.35578,1278665441.43003,0.20894784178805859,False,82653482.0,267174384.35578,3152361.3366725,True,True,True,0.3093615512553604,18.230167510805472,19.403412128099276,Lending
2022-04-23 00:00:00+00:00,55369416.0,244120737.60213,,244120737.60213,1319458785.9188597,0.18501581118513408,False,55369416.0,244120737.60213,3152361.3366725,True,True,True,0.22681160373290996,17.829537941515788,19.313173487109584,Lending
2022-04-24 00:00:00+00:00,56137140.0,251866148.71790004,,251866148.71790004,1356260242.3543801,0.18570635697517512,False,56137140.0,251866148.71790004,3152361.3366725,True,True,True,0.22288481515185987,17.843308183531917,19.344408348481092,Lending
