date,TVL,TVR,Fees,PlainValue,TVL_for_TVR,TVR ratio,pre_coverage,TVL_ana,TVR_ana,thr,use_tvr_day,valid_day,active,mult_daily,log_tvl_m,log_tvr_m,category
2022-04-01 00:00:00+00:00,25774476903.0,10049454611.55648,4083692.0,10049454611.55648,13464403537.947748,0.7463720604654592,False,25774476903.0,10049454611.55648,22426411.102296848,True,True,False,2.5647637507970193,,,Dexs
2022-04-02 00:00:00+00:00,26577053693.0,10213504506.12314,4230332.0,10213504506.12314,13640286926.05014,0.748774901986662,False,26577053693.0,10213504506.12314,22426411.102296848,True,True,False,2.6021483298966266,,,Dexs
2022-04-03 00:00:00+00:00,26442810601.0,10350383082.27327,3273146.0,10350383082.27327,13765568714.308964,0.7519037750699181,False,26442810601.0,10350383082.27327,22426411.102296848,True,True,False,2.5547663686272304,,,Dexs
2022-04-04 00:00:00+00:00,26664611496.0,10452579206.57029,3994284.0,10452579206.57029,13894208530.5696,0.7522975622233432,False,26664611496.0,10452579206.57029,22426411.102296848,True,True,False,2.551007839217247,,,Dexs
2022-04-05 00:00:00+00:00,26611120935.0,10370977733.28394,3296523.0,10370977733.28394,13821966459.805878,0.7503257776990434,False,26611120935.0,10370977733.28394,22426411.102296848,True,True,True,2.565922097161197,24.004595045626022,23.062277139534437,Dexs
2022-04-06 00:00:00+00:00,26072836791.0,9998911249.583672,4630226.0,9998911249.583672,13456941682.192507,0.7430299904483626,False,26072836791.0,9998911249.583672,22426411.102296848,True,True,True,2.6075675781286294,23.984159873356315,23.025742048971505,Dexs
2022-04-07 00:00:00+00:00,25477093275.0,9804729096.39084,3437594.0,9804729096.39084,13240120277.70263,0.7405317240888477,False,25477093275.0,9804729096.39084,22426411.102296848,True,True,True,2.598449485399675,23.96104558245374,23.0061306670841,Dexs
2022-04-08 00:00:00+00:00,25679891104.0,9813642787.342,3502606.0,9813642787.342,13291161063.628998,0.738358578333449,False,25679891104.0,9813642787.342,22426411.102296848,True,True,True,2.6167542125257377,23.96897407526074,23.007039375677998,Dexs
2022-04-09 00:00:00+00:00,25414287754.0,9807602805.25445,2048381.0,9807602805.25445,13231515858.937458,0.7412304765239527,False,25414287754.0,9807602805.25445,22426411.102296848,True,True,True,2.5912843595566724,23.958577362821455,23.006423718302955,Dexs
2022-04-10 00:00:00+00:00,25683937635.0,9877229573.278778,2039409.0,9877229573.278778,13337781373.411427,0.7405451699012564,False,25683937635.0,9877229573.278778,22426411.102296848,True,True,True,2.6003179782804353,23.96913163870987,23.013497901821758,Dexs
